Date,Open,High,Low,Close,Volume
2025-06-05,83.2300033569336,103.75,64.0,69.0,47192000.0
2025-06-06,107.6999969482422,123.51499938964844,92.9499969482422,96.38999938964844,60706300.0
2025-06-09,115.25,138.57000732421875,108.4000015258789,132.72000122070312,45521100.0
2025-06-10,105.91000366210938,115.0,101.51000213623048,115.0,25517800.0
2025-06-11,117.1999969482422,120.48999786376952,106.5,107.0,26481400.0
2025-06-12,106.54000091552734,117.93099975585938,104.26000213623048,116.79000091552734,13416500.0
2025-06-13,133.55999755859375,134.72000122070312,108.8000030517578,108.80999755859376,34013600.0
2025-06-16,151.05999755859375,165.60000610351562,145.8800048828125,147.5399932861328,43781500.0
2025-06-17,149.14999389648438,164.4199981689453,143.52999877929688,156.36000061035156,31234200.0
2025-06-18,199.58999633789065,200.8999938964844,148.0,153.22000122070312,63566800.0
2025-06-20,240.27999877929688,248.8800048828125,206.1699981689453,231.5,92427200.0
2025-06-23,263.45001220703125,298.989990234375,232.47999572753903,238.4600067138672,99128700.0
2025-06-24,222.6499938964844,265.0,217.57899475097656,250.4199981689453,68222600.0
2025-06-25,198.6199951171875,227.5399932861328,198.0,218.5449981689453,49283200.0
2025-06-26,213.6300048828125,226.9499969482422,205.67999267578125,209.0399932861328,45550300.0
2025-06-27,180.42999267578125,223.64700317382807,175.60000610351562,223.64700317382807,48112100.0
2025-06-30,181.2899932861328,192.5,178.0,181.7700042724609,34461500.0
2025-07-01,192.52999877929688,194.0,171.5,184.6699981689453,31252100.0
2025-07-02,177.97000122070312,189.0,176.0,187.2100067138672,18546000.0
2025-07-03,188.7700042724609,192.5,181.38999938964844,182.1699981689453,17192000.0
2025-07-07,207.4600067138672,208.6000061035156,186.6000061035156,193.75,31640800.0
2025-07-08,204.8099975585937,209.5,196.0,199.5,22225500.0
2025-07-09,200.67999267578125,215.6000061035156,197.25,209.3600006103516,17934400.0
2025-07-10,202.8999938964844,209.57000732421875,199.0,208.83999633789065,12340100.0
2025-07-11,187.3300018310547,206.8000030517578,182.5,204.17999267578125,18227400.0
2025-07-14,204.6999969482422,204.9100036621093,185.5399932861328,189.2700042724609,15445200.0
2025-07-15,195.3300018310547,203.4600067138672,188.1000061035156,198.0,14758500.0
2025-07-16,233.1999969482422,239.697998046875,201.32000732421875,203.0500030517578,43669500.0
2025-07-17,235.0800018310547,244.3600006103516,220.009994506836,225.5850067138672,29222500.0
2025-07-18,223.77999877929688,262.9700012207031,222.4900054931641,244.8999938964844,42877400.0
2025-07-21,216.1000061035156,231.8800048828125,213.3300018310547,226.3999938964844,19033100.0
2025-07-22,198.3099975585937,211.9900054931641,192.8999938964844,207.5500030517578,18485900.0
2025-07-23,202.4100036621093,202.5,195.0800018310547,198.3800048828125,10319800.0
